"file_name","date","pass"
"S1A_IW_GRDH_1SDV_20180423T052518_20180423T052543_021590_025363_7309.zip",2018-04-23,"Descending"
"S1A_IW_GRDH_1SDV_20200331T052530_20200331T052555_031915_03AF41_4B59.zip",2020-03-31,"Descending"
"S1A_IW_GRDH_1SDV_20200918T170007_20200918T170032_034416_0400BC_5B02.zip",2020-09-18,"Descending"
"S1A_IW_GRDH_1SDV_20200918T170032_20200918T170057_034416_0400BC_9078.zip",2020-09-18,"Descending"
"S1A_IW_GRDH_1SDV_20220209T170826_20220209T170851_041839_04FB16_6D57.zip",2022-02-09,"Descending"
"S1A_IW_GRDH_1SDV_20220213T052541_20220213T052606_041890_04FCC8_F026.zip",2022-02-13,"Descending"
"S1A_IW_GRDH_1SDV_20220808T170834_20220808T170859_044464_054E50_9251.zip",2022-08-08,"Descending"
"S1A_IW_GRDH_1SDV_20220812T052549_20220812T052614_044515_054FF1_8B9D.zip",2022-08-12,"Descending"
"S1A_IW_GRDH_1SDV_20230328T052547_20230328T052612_047840_05BF83_13EA.zip",2023-03-28,"Descending"
"S1A_IW_GRDH_1SDV_20230331T170015_20230331T170040_047891_05C130_C855.zip",2023-03-31,"Descending"
"S1A_IW_GRDH_1SDV_20230331T170040_20230331T170105_047891_05C130_6C3F.zip",2023-03-31,"Descending"
"S1B_IW_GRDH_1SDV_20180420T165927_20180420T165952_010570_013469_A931.zip",2018-04-20,"Descending"
"S1B_IW_GRDH_1SDV_20200402T170732_20200402T170757_020968_027C5A_C2B9.zip",2020-04-02,"Descending"
"S1B_IW_GRDH_1SDV_20200921T052500_20200921T052525_023469_02C94E_E7BF.zip",2020-09-21,"Descending"
