"variable","soil_res","soil_veg","residue_veg","soil_other"
"NBR2",2.01868155764552,5.24811243185266,1.97113765171278,2.08214105379042
"B8A",1.34260920985855,2.68844591634153,1.22360052200471,1.44149701677903
"MSAVI8A",1.35364730863106,5.6956883063382,3.53655038057132,1.43850395773221
"MSAVI2",1.36342449085047,5.90915162993619,3.41404746588877,1.43046722582091
"B06",1.27778251731782,2.44323512792152,1.04268364990132,1.41629544051508
"B08",1.32549021633858,2.64364033976143,1.25808008943932,1.41491561076581
"B07",1.32012463028526,2.64518432573233,1.28572803433884,1.40891154464602
"BSI8A",1.32273512716806,3.93799700869541,2.77898865225897,1.24686457388346
"BSI",1.2100303113295,3.82690814294588,2.70442205175329,1.22422952615414
"RVI_buff",0.6293645775303,1.8866064211553,1.27415408350943,0.951062151571118
"B12",0.207054874981245,2.81222921295394,2.2027112141979,0.802767014672534
"VH_mean",0.373621139579955,1.58944898612523,1.24042350802521,0.712550454320878
"VH_variance",0.355463118467489,1.54822459525486,1.21075394105749,0.690518081775145
"RVI",0.328697863759535,0.991548202017981,0.674152561272989,0.532290432942687
"VH_buff",0.150652483337645,1.26810241700113,1.13354938745932,0.485298819823254
"B05",0.891704116494877,0.599290593334293,1.26688373015607,0.393291573572932
"VH",0.118404986800452,0.942882514777492,0.870111937078965,0.377123576717566
"B03",0.823765858463976,0.624888558245292,1.24462963481049,0.35020350827043
"VH_second_moment",0.273964278985467,0.154225834027053,0.157277892195445,0.248094092548752
"VH_entropy",0.253450856614711,0.075622536319201,0.216984271257317,0.201350598219245
"VV_buff",0.27590069963363,0.0154449971301111,0.234200070931757,0.182065846266963
"B02",0.741324076391596,1.15607698133736,1.57856233941427,0.14941279230627
"VV",0.214464293988378,0.00239453268337487,0.197067004212735,0.140876845109758
"VH_homogeneity",0.209010382138356,0.0466937824865059,0.287029828148772,0.125383334564345
"B11",0.519575203968853,1.56569722380281,1.65891551493135,0.102282182524653
"B04",0.589517209671091,1.85819426036111,1.8886291023404,0.0938703469148234
"VH_dissimilarity",0.169985194913259,0.163324381935433,0.356728451762995,0.0604376772680841
"VV_second_moment",0.045177331978809,0.0504382033796788,0.00493974542705642,0.0460631471997141
"VV_entropy",0.0412881135656068,0.0371421409277158,0.00394259963440006,0.0395062666621833
"VV_homogeneity",0.051255003366318,0.0208994507861217,0.0709494068924567,0.0274339060073942
"VV_dissimilarity",0.0489158774314667,0.055931477305199,0.104430641637532,0.0141907410825743
"VV_variance",0.101240390017075,0.221522564819064,0.308792613201803,0.00711470595554963
"VV_contrast",0.0461207735842897,0.0763606603972491,0.124832738310619,0.00519022114951722
"VV_mean",0.10959989624417,0.218760130649759,0.312427468754309,0.000944627703650343
"VH_contrast",0.118328032566317,0.247695206257442,0.37094961474538,0.000832240049365657
"VH_correlation",NA,NA,NA,NA
"VV_correlation",NA,NA,NA,NA
